Gender,EngagingMethod,MotivationDuringTL,HandsOnActivityHelp,TLPerformance,GroupDiscussion,MultimediaEffectiveness,TeacherInteraction,IMEncourageness,PeerLearning,Retention,ELinRealWorld,PreferMedia,ChallengesTL,Suggestions,AgeGroup,Score,Dropdown
Male,Experiential methods,Sometimes,Agree,Yes,Effective,Good,Often,Agree,Yes,Experiential methods,Neutral,Agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Often,Agree,Yes,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Traditional lectures,Rarely,Strongly disagree,Not sure,Very ineffective,Poor,Rarely,Strongly disagree,No,Experiential methods,Ineffective,Strongly disagree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,Not sure,Effective,Average,Sometimes,Agree,Yes,Experiential methods,Very effective,Agree,Lack of engagement,,18–24,0.0,
Female,Traditional lectures,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Neutral,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Often,Strongly agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Sometimes,Neutral,Yes,Neutral,Good,Often,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Always,Agree,Yes,Neutral,Excellent,Sometimes,Neutral,Sometimes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Often,Agree,Yes,Neutral,Good,Rarely,Neutral,No,Experiential methods,Effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Sometimes,Strongly agree,No,Effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Good,Always,Strongly agree,Yes,Experiential methods,Very effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,Not sure,Very effective,Good,Rarely,Agree,Strongly agree,Experiential methods,Neutral,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,No,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Agree,One-way communication,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Often,Disagree,Yes,Very ineffective,Good,Often,Strongly disagree,Sometimes,Interactive methods,Neutral,Agree,No hands-on learning opportunities,,25–34,0.0,
Female,Experiential methods,Often,Strongly agree,Not sure,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,No,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Always,Agree,Yes,Effective,Good,Always,Agree,Strongly agree,Traditional lectures,Effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Good,Rarely,Neutral,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Rarely,Neutral,Not sure,Neutral,Average,Rarely,Neutral,Sometimes,Experiential methods,Effective,Disagree,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Often,Strongly agree,No,Very effective,Excellent,Rarely,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,,Above 34,0.0,
Male,Interactive methods,Sometimes,Agree,No,Effective,Average,Often,Strongly agree,Strongly agree,Interactive methods,Neutral,Neutral,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Agree,Yes,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Experiential methods,Sometimes,Agree,No,Effective,Good,Often,Agree,No,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Traditional lectures,Always,Neutral,Yes,Effective,Average,Often,Agree,Strongly agree,Traditional lectures,Neutral,Neutral,Lack of engagement,,Above 34,0.0,
Female,Experiential methods,Often,Strongly agree,No,Effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Traditional lectures,Sometimes,Agree,Yes,Effective,Excellent,Always,Agree,Yes,Interactive methods,Neutral,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Neutral,Yes,Very effective,Excellent,Always,Agree,Yes,Interactive methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Often,Neutral,Not sure,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,,Above 34,0.0,
Female,Experiential methods,Rarely,Agree,Not sure,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Very effective,Neutral,No hands-on learning opportunities,,Above 34,0.0,
Male,Experiential methods,Rarely,Agree,No,Effective,Good,Rarely,Strongly agree,Sometimes,Experiential methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Neutral,Yes,Very effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Sometimes,Neutral,Yes,Neutral,Good,Always,Agree,Yes,Interactive methods,Neutral,Neutral,No hands-on learning opportunities,,18–24,0.0,
Female,Interactive methods,Always,Agree,Yes,Neutral,Excellent,Always,Agree,Strongly agree,Experiential methods,Effective,Neutral,One-way communication,,Above 34,0.0,
Female,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Neutral,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,Not sure,Ineffective,Poor,Rarely,Neutral,No,Experiential methods,Neutral,Neutral,Lack of engagement,,Above 34,0.0,
Female,Traditional lectures,Often,Agree,Not sure,Effective,Average,Often,Agree,Yes,Traditional lectures,Effective,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Agree,Yes,Effective,Good,Always,Strongly agree,Strongly agree,Interactive methods,Neutral,Strongly agree,One-way communication,,18–24,0.0,
Female,Traditional lectures,Always,Strongly disagree,Yes,Very ineffective,Excellent,Rarely,Strongly disagree,No,Traditional lectures,Very ineffective,Strongly agree,One-way communication,,Above 34,0.0,
Male,Traditional lectures,Always,Neutral,Yes,Very effective,Good,Always,Strongly agree,Yes,Traditional lectures,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Yes,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,25–34,0.0,
Male,Interactive methods,Sometimes,Strongly agree,No,Very effective,Excellent,Rarely,Strongly agree,Strongly agree,Interactive methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Neutral,Good,Always,Agree,Strongly agree,Traditional lectures,Effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Interactive methods,Often,Strongly agree,No,Effective,Excellent,Often,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Often,Agree,Yes,Very effective,Good,Always,Agree,Yes,Interactive methods,Neutral,Agree,One-way communication,,25–34,0.0,
Male,Experiential methods,Always,Strongly agree,Yes,Effective,Good,Often,Agree,No,Experiential methods,Effective,Neutral,No hands-on learning opportunities,,Above 34,0.0,
Male,Interactive methods,Often,Agree,Yes,Effective,Average,Sometimes,Neutral,Strongly agree,Interactive methods,Very effective,Neutral,Lack of engagement,,18–24,0.0,
Female,Traditional lectures,Always,Agree,Yes,Neutral,Good,Sometimes,Neutral,Sometimes,Traditional lectures,Neutral,Agree,One-way communication,,18–24,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Effective,Good,Often,Strongly agree,Yes,Traditional lectures,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,No,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Traditional lectures,Always,Neutral,Yes,Effective,Good,Often,Agree,Yes,Interactive methods,Effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Traditional lectures,Always,Disagree,Yes,Effective,Excellent,Often,Agree,No,Traditional lectures,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Often,Strongly agree,No,Very effective,Excellent,Always,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Rarely,Agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Agree,Not sure,Very effective,Excellent,Often,Strongly agree,Strongly agree,Interactive methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Rarely,Agree,Yes,Very effective,Good,Rarely,Strongly agree,Strongly agree,Interactive methods,Effective,Disagree,Lack of engagement,,25–34,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Sometimes,Agree,Yes,Effective,Excellent,Always,Agree,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Effective,Excellent,Often,Strongly agree,Strongly agree,Interactive methods,Effective,Neutral,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Strongly agree,Yes,Very effective,Good,Always,Strongly agree,Yes,Traditional lectures,Neutral,Neutral,One-way communication,,18–24,0.0,
Female,Traditional lectures,Rarely,Strongly disagree,Not sure,Very ineffective,Poor,Rarely,Strongly disagree,No,Traditional lectures,Very ineffective,Strongly disagree,One-way communication,,Above 34,0.0,
Female,Experiential methods,Rarely,Agree,No,Very effective,Excellent,Sometimes,Neutral,Yes,Experiential methods,Very effective,Agree,One-way communication,,25–34,0.0,
Male,Traditional lectures,Always,Agree,Yes,Very effective,Average,Always,Strongly agree,No,Experiential methods,Neutral,Neutral,One-way communication,,18–24,0.0,
Male,Interactive methods,Sometimes,Agree,Yes,Very effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Average,Always,Disagree,Strongly agree,Interactive methods,Effective,Disagree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,No,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Interactive methods,Often,Strongly agree,Yes,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Excellent,Always,Strongly agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,,25–34,0.0,
Female,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Rarely,Strongly agree,Yes,Experiential methods,Very effective,Neutral,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Effective,Strongly agree,Lack of engagement,,Above 34,0.0,
Male,Interactive methods,Always,Strongly disagree,No,Very ineffective,Poor,Sometimes,Strongly disagree,No,Experiential methods,Very ineffective,Strongly disagree,No hands-on learning opportunities,,25–34,0.0,
Male,Experiential methods,Often,Strongly agree,Yes,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Interactive methods,Sometimes,Agree,No,Effective,Excellent,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,No,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,25–34,0.0,
Male,Experiential methods,Often,Strongly agree,No,Effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Effective,Agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Often,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Sometimes,Neutral,Yes,Effective,Excellent,Often,Agree,No,Interactive methods,Effective,Strongly agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Often,Neutral,No,Neutral,Good,Often,Neutral,Yes,Interactive methods,Effective,Neutral,One-way communication,,18–24,0.0,
Male,Traditional lectures,Often,Strongly agree,Yes,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Yes,Effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Female,Experiential methods,Rarely,Agree,Not sure,Effective,Poor,Often,Disagree,Strongly agree,Experiential methods,Effective,Neutral,No hands-on learning opportunities,,Above 34,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Neutral,One-way communication,,18–24,0.0,
Male,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Good,Sometimes,Disagree,Strongly agree,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Average,Sometimes,Strongly agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,,25–34,0.0,
Male,Interactive methods,Always,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Often,Strongly agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Neutral,One-way communication,,18–24,0.0,
Female,Interactive methods,Often,Agree,Not sure,Effective,Good,Often,Agree,Yes,Experiential methods,Neutral,Neutral,One-way communication,,18–24,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Always,Agree,No,Very effective,Excellent,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Interactive methods,Rarely,Agree,No,Effective,Good,Often,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Always,Strongly agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,,25–34,0.0,
Female,Traditional lectures,Sometimes,Agree,Yes,Effective,Average,Sometimes,Agree,Yes,Traditional lectures,Effective,Neutral,One-way communication,,25–34,0.0,
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Strongly agree,No,Ineffective,Excellent,Sometimes,Strongly agree,Yes,Experiential methods,Very effective,Disagree,One-way communication,,18–24,0.0,
Female,Interactive methods,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,,25–34,0.0,
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Always,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,,18–24,0.0,
Male,Experiential methods,Always,Strongly agree,Not sure,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,,18–24,0.0,
Female,Experiential methods,Sometimes,Agree,No,Effective,Good,Often,Agree,Sometimes,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Male,Interactive methods,Sometimes,Strongly agree,Not sure,Effective,Excellent,Always,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,,18–24,0.0,
Female,Interactive methods,Sometimes,Neutral,No,Neutral,Excellent,Rarely,Agree,Strongly agree,Experiential methods,Effective,Agree,Lack of engagement,,18–24,0.0,
Female,Experiential methods,Rarely,Strongly agree,Yes,Very effective,Good,Sometimes,Neutral,Strongly agree,Experiential methods,Effective,Disagree,No hands-on learning opportunities,,18–24,0.0,
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Average,Often,Agree,Strongly agree,Experiential methods,Effective,Neutral,No hands-on learning opportunities,,18–24,0.0,
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,,25–34,0.0,
